Fresno stat,Fresno nonstat,Los Angeles stat,Los Angeles nonstat,Sacramento stat,Sacramento nonstat,San Diego stat,San Diego nonstat,San Jose stat,San Jose nonstat,San Francisco stat,San Francisco nonstat
24.95172793,25.41362592,47.61807854,50.10341397,37.55224368,37.31156612,29.2317307,29.79242492,26.53839507,26.88226392,39.7065221,39.93729267
28.35273533,29.20188012,58.04234661,60.71928635,43.49840759,43.43193095,34.57995556,35.25098033,30.56552974,31.15930792,45.30608746,45.61465079
30.53095161,31.64567252,64.75492943,67.60807135,47.32639088,47.31595826,38.01033446,38.72654029,33.13300618,33.88878701,48.91813104,49.16345948
32.16192352,33.48056215,69.7004913,72.6520487,50.13349096,50.17548329,40.5570042,41.31036976,35.03163609,35.89073531,51.57371034,51.82132944
33.45365817,34.95928865,73.62753263,76.68030375,52.36667076,52.50417781,42.55795421,43.39241402,36.54319847,37.51750273,53.67917419,53.93140827
34.52589714,36.14943029,76.91715062,80.05294531,54.22712164,54.38128408,44.23943629,45.13208454,37.80483805,38.86597215,55.45325397,55.69328764
35.45488355,37.1811569,79.7063588,82.87084126,55.82853448,56.01073574,45.66928459,46.62141845,38.87761835,39.99523334,56.96774499,57.20872259
36.26017391,38.08091627,82.16977324,85.38240902,57.24160371,57.44245717,46.9202444,47.90367226,39.8238731,40.97646022,58.28685975,58.52468382
36.97885938,38.86885323,84.32987679,87.64213911,58.47612957,58.69320619,48.03625201,49.0508428,40.6623329,41.85033615,59.45955798,59.71021101
37.62496272,39.60445007,86.26594282,89.64079726,59.58660828,59.8479621,49.04283908,50.1012016,41.42314663,42.65376387,60.51464476,60.77284602
38.21244395,40.26285744,88.0438939,91.48446073,60.60649819,60.86178154,49.9562768,51.04785388,42.09073839,43.37782514,61.48486847,61.71061365
38.74809233,40.88110783,89.67583884,93.14369068,61.5399759,61.81235306,50.79366585,51.91207849,42.71116534,44.0265604,62.36242615,62.57773477
39.24418137,41.43033716,91.17314969,94.72192888,62.39946633,62.68432586,51.57225397,52.71009337,43.28220418,44.62227766,63.17284017,63.36256364
39.71029171,41.94915103,92.53304771,96.14788092,63.18997806,63.48419704,52.2943177,53.4513639,43.8148705,45.20440973,63.92778261,64.09844239
40.13272116,42.42989441,93.82772752,97.49521266,63.921204,64.22970393,52.9779917,54.14106375,44.30256554,45.71674829,64.62232224,64.79406773
40.52971232,42.86170786,95.03192707,98.77846394,64.60805813,64.9326084,53.61132495,54.77893406,44.77127746,46.21583813,65.28494169,65.44937584
40.91170341,43.28142948,96.16126329,99.95583142,65.25242297,65.59427002,54.19080149,55.36243496,45.20566793,46.68335655,65.9082841,66.06646387
41.26779789,43.70034877,97.25385234,101.1138122,65.87749917,66.21362362,54.75995168,55.91106322,45.62016164,47.11879057,66.48661841,66.65736337
