Fresno stat,Fresno nonstat,Los Angeles stat,Los Angeles nonstat,Sacramento stat,Sacramento nonstat,San Diego stat,San Diego nonstat,San Jose stat,San Jose nonstat,San Francisco stat,San Francisco nonstat
49.36083552,53.11088482,121.1932143,126.7180403,80.05811862,80.44773299,67.47243097,68.80766162,54.8104675,57.0051699,79.9670597,80.83722937
49.45863454,53.2213844,121.4836662,127.0218524,80.227103,80.62133067,67.62617318,68.96345159,54.92121952,57.12295666,80.12761809,80.99891993
49.55498025,53.33024224,121.7697695,127.3211228,80.39356648,80.79233755,67.7776333,69.11692436,55.03030716,57.23896896,80.2857872,81.15819987
49.64991529,53.43750654,122.051652,127.6159852,80.55758317,80.96082985,67.92687827,69.26814796,55.13777953,57.35325924,80.44163722,81.31514004
49.74348049,53.54322338,122.3294365,127.9065676,80.719224,81.12688045,68.07397212,69.41718748,55.24368363,57.46587766,80.59523528,81.46980824
49.83571488,53.64743688,122.6032402,128.1929923,80.87855683,81.29055912,68.21897617,69.56410522,55.34806442,57.5768722,80.74664562,81.62226936
49.9266559,53.75018929,122.8731754,128.4753766,81.03564667,81.45193267,68.36194911,69.70896086,55.45096496,57.68628884,80.89592978,81.77258553
50.01633938,53.85152112,123.1393497,128.7538328,81.19055582,81.61106515,68.50294723,69.85181158,55.55242651,57.7941716,81.04314675,81.92081631
50.10479971,53.95147119,123.4018664,129.0284685,81.343344,81.76801796,68.64202448,69.99271223,55.65248863,57.90056271,81.18835309,82.06701881
50.19206987,54.05007677,123.6608245,129.2993872,81.49406854,81.92285,68.77923265,70.13171542,55.75118929,58.00550268,81.33160305,82.21124782
50.27818155,54.14737364,123.916319,129.566688,81.64278445,82.07561784,68.91462143,70.26887167,55.84856491,58.10903038,81.47294874,82.35355595
50.36316515,54.24339616,124.1684412,129.8304663,81.78954459,82.22637579,69.0482386,70.4042295,55.94465048,58.21118316,81.61244019,82.49399371
50.44704993,54.33817735,124.4172789,130.0908136,81.93439975,82.37517606,69.18013003,70.53783555,56.03947963,58.31199689,81.7501255,82.63260967
50.529864,54.43174898,124.6629163,130.3478179,82.07739875,82.52206885,69.31033987,70.66973466,56.13308468,58.41150608,81.88605093,82.76945052
50.61163439,54.52414161,124.9054348,130.601564,82.2185886,82.66710246,69.43891056,70.79996998,56.22549674,58.5097439,82.02026095,82.90456117
50.69238717,54.61538463,125.1449123,130.8521334,82.35801449,82.81032336,69.56588299,70.92858302,56.31674574,58.6067423,82.1527984,83.03798486
50.77214739,54.70550638,125.3814241,131.0996046,82.49572,82.95177631,69.6912965,71.05561379,56.40686048,58.70253201,82.2837045,83.16976322
